City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
158,Oskarshamn,SE,83.64,57.2645,16.4484,Best Western Hotel Corallen
159,Hasaki,JP,79.29,35.7333,140.8333,Inubosaki Kanko Hotel
163,San Cristobal,VE,77.18,7.7669,-72.225,Pirineos
167,Faanui,PF,77.22,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
170,Odweyne,SO,76.19,9.4092,45.064,Eng Hiirey House
171,Santa Maria,BR,77.79,-29.6842,-53.8069,Hotel Morotin
176,Bozeman,US,79.29,45.6796,-111.0386,Homewood Suites by Hilton Bozeman
178,Hilo,US,76.28,19.7297,-155.09,Hilo Hawaiian Hotel
184,Elko,US,85.64,41.0002,-115.5012,
189,Acarau,BR,87.64,-2.8856,-40.12,castelo pizzaria
192,San Roque,ES,77.83,36.2107,-5.3842,Hotel Guadacorte Park
194,Santa Cruz,BO,86.05,-17.8,-63.1667,Aviador Hotel Boutique
197,Belmonte,BR,76.33,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
199,Kushima,JP,79.79,31.4583,131.2333,Hanaoka
202,Lakota,CI,76.62,5.8528,-5.6883,Aziz bah divers
203,Bengkulu,ID,75.63,-3.8004,102.2655,Grage Hotel Bengkulu
204,Mana,GF,83.05,5.6592,-53.7767,LE SAMANA
208,Pinotepa Nacional,MX,89.71,16.3167,-98.0167,Hotel Maria Del Carmen
